PAIS_ES,PAIS_EN,ANO,ISBN
Bolivia,Bolivia,2013-01-01,780
Brasil,Brazil,2013-01-01,77219
Chile,Chile,2013-01-01,5006
Colombia,Colombia,2013-01-01,14080
Costa Rica,Costa Rica,2013-01-01,1692
Cuba,Cuba,2013-01-01,1204
Ecuador,Ecuador,2013-01-01,2638
El Salvador,El Salvador,2013-01-01,485
Guatemala,Guatemala,2013-01-01,1039
Honduras,Honduras,2013-01-01,199
México,Mexico,2013-01-01,27890
Nicaragua,Nicaragua,2013-01-01,259
Panamá,Panama,2013-01-01,2655
Paraguay,Paraguay,2013-01-01,749
Perú,Peru,2013-01-01,6349
Rep. Dominicana,Domincan Rep.,2013-01-01,1141
Uruguay,Uruguay,2013-01-01,1629
Venezuela,Venezuela,2013-01-01,2755
Argentina,Argentina,2014-01-01,24203
Bolivia,Bolivia,2014-01-01,824
Brasil,Brazil,2014-01-01,84958
Chile,Chile,2014-01-01,4814
Colombia,Colombia,2014-01-01,14035
Costa Rica,Costa Rica,2014-01-01,1550
Cuba,Cuba,2014-01-01,4456
Ecuador,Ecuador,2014-01-01,2850
El Salvador,El Salvador,2014-01-01,618
Guatemala,Guatemala,2014-01-01,1019
Honduras,Honduras,2014-01-01,305
México,Mexico,2014-01-01,27674
Nicaragua,Nicaragua,2014-01-01,87
Panamá,Panama,2014-01-01,271
Paraguay,Paraguay,2014-01-01,698
Perú,Peru,2014-01-01,5750
Rep. Dominicana,Domincan Rep.,2014-01-01,1433
Uruguay,Uruguay,2014-01-01,1641
Venezuela,Venezuela,2014-01-01,2471
Argentina,Argentina,2015-01-01,24107
Bolivia,Bolivia,2015-01-01,784
Brasil,Brazil,2015-01-01,79379
Chile,Chile,2015-01-01,5307
Colombia,Colombia,2015-01-01,15447
Costa Rica,Costa Rica,2015-01-01,1262
Cuba,Cuba,2015-01-01,1719
Ecuador,Ecuador,2015-01-01,2714
El Salvador,El Salvador,2015-01-01,541
Guatemala,Guatemala,2015-01-01,1091
Honduras,Honduras,2015-01-01,52
México,Mexico,2015-01-01,28269
Nicaragua,Nicaragua,2015-01-01,237
Panamá,Panama,2015-01-01,742
Paraguay,Paraguay,2015-01-01,861
Perú,Peru,2015-01-01,5725
Rep. Dominicana,Domincan Rep.,2015-01-01,1412
Uruguay,Uruguay,2015-01-01,1711
Venezuela,Venezuela,2015-01-01,2635
Argentina,Argentina,2016-01-01,22890
Bolivia,Bolivia,2016-01-01,905
Brasil,Brazil,2016-01-01,73781
Chile,Chile,2016-01-01,6216
Colombia,Colombia,2016-01-01,15757
Costa Rica,Costa Rica,2016-01-01,1806
Cuba,Cuba,2016-01-01,2002
Ecuador,Ecuador,2016-01-01,3583
El Salvador,El Salvador,2016-01-01,531
Guatemala,Guatemala,2016-01-01,813
Honduras,Honduras,2016-01-01,184
México,Mexico,2016-01-01,26532
Nicaragua,Nicaragua,2016-01-01,151
Panamá,Panama,2016-01-01,959
Paraguay,Paraguay,2016-01-01,866
Perú,Peru,2016-01-01,6055
Rep. Dominicana,Domincan Rep.,2016-01-01,1245
Uruguay,Uruguay,2016-01-01,1724
Venezuela,Venezuela,2016-01-01,2396
Argentina,Argentina,2017-01-01,23294
Bolivia,Bolivia,2017-01-01,882
Brasil,Brazil,2017-01-01,78283
Chile,Chile,2017-01-01,6992
Colombia,Colombia,2017-01-01,16074
Costa Rica,Costa Rica,2017-01-01,1732
Cuba,Cuba,2017-01-01,1312
Ecuador,Ecuador,2017-01-01,3395
El Salvador,El Salvador,2017-01-01,586
Guatemala,Guatemala,2017-01-01,831
Honduras,Honduras,2017-01-01,399
México,Mexico,2017-01-01,25363
Nicaragua,Nicaragua,2017-01-01,NA
Panamá,Panama,2017-01-01,611
Paraguay,Paraguay,2017-01-01,868
Perú,Peru,2017-01-01,6202
Rep. Dominicana,Domincan Rep.,2017-01-01,1342
Uruguay,Uruguay,2017-01-01,1858
Venezuela,Venezuela,2017-01-01,2129
Argentina,Argentina,2013-01-01,24474
