COUNTRY_ES,COUNTRY_EN,YEAR,VALUE,DATE
Antigua y Barbuda,Antigua and Barbuda,2000,12.1,2000-01-01
Antigua y Barbuda,Antigua and Barbuda,2001,12.5,2001-01-01
Antigua y Barbuda,Antigua and Barbuda,2002,12.9,2002-01-01
Antigua y Barbuda,Antigua and Barbuda,2003,13.3,2003-01-01
Antigua y Barbuda,Antigua and Barbuda,2004,13.7,2004-01-01
Antigua y Barbuda,Antigua and Barbuda,2005,14,2005-01-01
Antigua y Barbuda,Antigua and Barbuda,2006,14.4,2006-01-01
Antigua y Barbuda,Antigua and Barbuda,2007,14.8,2007-01-01
Antigua y Barbuda,Antigua and Barbuda,2008,15.3,2008-01-01
Antigua y Barbuda,Antigua and Barbuda,2009,15.7,2009-01-01
Antigua y Barbuda,Antigua and Barbuda,2010,16.1,2010-01-01
Antigua y Barbuda,Antigua and Barbuda,2011,16.6,2011-01-01
Antigua y Barbuda,Antigua and Barbuda,2012,17,2012-01-01
Antigua y Barbuda,Antigua and Barbuda,2013,17.5,2013-01-01
Antigua y Barbuda,Antigua and Barbuda,2014,18,2014-01-01
Antigua y Barbuda,Antigua and Barbuda,2015,18.6,2015-01-01
Antigua y Barbuda,Antigua and Barbuda,2016,19.1,2016-01-01
Argentina,Argentina,2000,20.5,2000-01-01
Argentina,Argentina,2001,20.9,2001-01-01
Argentina,Argentina,2002,21.4,2002-01-01
Argentina,Argentina,2003,21.8,2003-01-01
Argentina,Argentina,2004,22.3,2004-01-01
Argentina,Argentina,2005,22.8,2005-01-01
Argentina,Argentina,2006,23.2,2006-01-01
Argentina,Argentina,2007,23.7,2007-01-01
Argentina,Argentina,2008,24.2,2008-01-01
Argentina,Argentina,2009,24.7,2009-01-01
Argentina,Argentina,2010,25.3,2010-01-01
Argentina,Argentina,2011,25.8,2011-01-01
Argentina,Argentina,2012,26.3,2012-01-01
Argentina,Argentina,2013,26.9,2013-01-01
Argentina,Argentina,2014,27.4,2014-01-01
Argentina,Argentina,2015,28,2015-01-01
